Time,Voltage,SOC
0.0,50.0,100.0
0.01,50.0,99.99999722222222
0.02,50.0,99.99999444444444
0.03,50.0,99.99999166666667
0.04,50.0,99.9999888888889
0.05,50.0,99.99998611111111
0.06,50.0,99.99998333333333
0.07,50.0,99.99998055555555
0.08,50.0,99.99997777777777
0.09,50.0,99.999975
0.1,50.0,99.99997222222223
0.11,50.0,99.99996944444445
0.12,50.0,99.99996666666667
0.13,50.0,99.99996388888889
0.14,50.0,99.9999611111111
0.15,50.0,99.99995833333334
0.16,50.0,99.99995555555556
0.17,50.0,99.99995277777778
0.18,50.0,99.99995
0.19,50.0,99.99994722222222
0.2,50.0,99.99994444444444
0.21,50.0,99.99994166666667
0.22,50.0,99.99993888888889
0.23,50.0,99.99993611111111
0.24,50.0,99.99993333333333
0.25,50.0,99.99993055555555
0.26,50.0,99.99992777777778
0.27,50.0,99.999925
0.28,50.0,99.99992222222222
0.29,50.0,99.99991944444444
0.3,50.0,99.99991666666666
0.31,50.0,99.99991388888888
0.32,50.0,99.99991111111112
0.33,50.0,99.99990833333334
0.34,50.0,99.99990555555556
0.35000000000000003,50.0,99.99990277777778
0.36,50.0,99.9999
0.37,50.0,99.99989722222222
0.38,50.0,99.99989444444445
0.39,50.0,99.99989166666667
0.4,50.0,99.99988888888889
0.41000000000000003,50.0,99.99988611111111
0.42,50.0,99.99988333333333
0.43,50.0,99.99988055555555
0.44,50.0,99.99987777777778
0.45,50.0,99.999875
0.46,50.0,99.99987222222222
0.47000000000000003,50.0,99.99986944444444
0.48,50.0,99.99986666666666
0.49,50.0,99.99986388888888
0.5,50.0,99.99986111111112
0.51,50.0,99.99985833333334
0.52,50.0,99.99985555555556
0.53,50.0,99.99985277777778
0.54,50.0,99.99985
0.55,50.0,99.99984722222223
0.56,50.0,99.99984444444445
0.5700000000000001,50.0,99.99984166666667
0.58,50.0,99.99983888888889
0.59,50.0,99.99983611111111
0.6,50.0,99.99983333333333
0.61,50.0,99.99983055555556
0.62,50.0,99.99982777777778
0.63,50.0,99.999825
0.64,50.0,99.99982222222222
0.65,50.0,99.99981944444444
0.66,50.0,99.99981666666666
0.67,50.0,99.9998138888889
0.68,50.0,99.99981111111111
0.6900000000000001,50.0,99.99980833333333
0.7000000000000001,50.0,99.99980555555555
0.71,50.0,99.99980277777777
0.72,50.0,99.9998
0.73,50.0,99.99979722222223
0.74,50.0,99.99979444444445
0.75,50.0,99.99979166666667
0.76,50.0,99.99978888888889
0.77,50.0,99.9997861111111
0.78,50.0,99.99978333333334
0.79,50.0,99.99978055555556
0.8,50.0,99.99977777777778
0.81,50.0,99.999775
0.8200000000000001,50.0,99.99977222222222
0.8300000000000001,50.0,99.99976944444444
0.84,50.0,99.99976666666667
0.85,50.0,99.99976388888889
0.86,50.0,99.99976111111111
0.87,50.0,99.99975833333333
0.88,50.0,99.99975555555555
0.89,50.0,99.99975277777777
0.9,50.0,99.99975
0.91,50.0,99.99974722222223
0.92,50.0,99.99974444444445
0.93,50.0,99.99974166666667
0.9400000000000001,50.0,99.99973888888888
0.9500000000000001,50.0,99.9997361111111
0.96,50.0,99.99973333333334
0.97,50.0,99.99973055555556
0.98,50.0,99.99972777777778
0.99,50.0,99.999725
1.0,50.0,99.99972222222222
1.01,50.0,99.99971944444444
1.02,50.0,99.99971666666667
1.03,50.0,99.99971388888889
1.04,50.0,99.99971111111111
1.05,50.0,99.99970833333333
1.06,50.0,99.99970555555555
1.07,50.0,99.99970277777778
1.08,50.0,99.9997
1.09,50.0,99.99969722222222
1.1,50.0,99.99969444444444
1.11,50.0,99.99969166666666
1.12,50.0,99.99968888888888
1.1300000000000001,50.0,99.99968611111112
1.1400000000000001,50.0,99.99968333333334
1.1500000000000001,50.0,99.99968055555556
1.16,50.0,99.99967777777778
1.17,50.0,99.999675
1.18,50.0,99.99967222222222
1.19,50.0,99.99966944444445
1.2,50.0,99.99966666666667
1.21,50.0,99.99966388888889
1.22,50.0,99.99966111111111
1.23,50.0,99.99965833333333
1.24,50.0,99.99965555555555
